iter	Passed	Remaining
0	6	509
1	12	496
2	18	476
3	24	467
4	30	454
5	36	447
6	42	442
7	48	438
8	54	432
9	61	428
10	67	421
11	73	414
12	79	409
13	86	405
14	90	390
15	96	387
16	103	382
17	109	377
18	116	373
19	122	368
20	131	368
21	137	363
22	144	358
23	150	352
24	157	347
25	164	341
26	170	335
27	177	330
28	185	326
29	194	323
30	201	318
31	209	314
32	217	309
33	224	304
34	231	298
35	240	293
36	247	287
37	255	282
38	262	275
39	269	269
40	277	263
41	284	257
42	292	251
43	299	244
44	306	238
45	314	232
46	323	226
47	330	220
48	337	213
49	344	206
50	352	200
51	359	193
52	369	188
53	378	182
54	387	176
55	394	169
56	403	162
57	410	155
58	418	149
59	427	142
60	435	135
61	443	128
62	451	121
63	459	114
64	466	107
65	474	100
66	483	93
67	490	86
68	498	79
69	505	72
70	513	65
71	521	57
72	529	50
73	536	43
74	544	36
75	553	29
76	561	21
77	571	14
78	579	7
79	586	0
